SummaryNr,Degree,Nature,Occupation,FallDist,Cause,FatCause
201186921,3,1,2,1,2,7
201024817,3,1,1,1,2,7
202654687,3,7,2,1,2,7
202556742,3,1,15,1,3,7
202509832,3,1,2,1,2,7
201943081,3,7,2,2,2,7
202614806,3,6,12,2,2,2
201943073,4,3,15,2,3,7
202523742,3,1,15,2,8,2
201186574,4,6,15,2,3,7
202556098,3,1,15,2,3,2
200626711,4,1,5,2,2,2
202656955,3,1,15,2,2,7
202649232,4,6,15,2,2,7
200515732,4,1,5,3,11,7
202614673,4,1,12,2,2,7
202493359,4,6,2,2,2,7
201129491,3,1,15,2,1,7
202544755,3,6,1,1,3,7
201078375,3,1,15,1,1,7
202654034,3,7,12,2,5,7
201129400,3,1,15,1,2,7
202554861,3,1,15,1,2,4
200626620,4,6,2,1,3,7
202654026,3,7,12,1,2,7
201078292,3,1,15,1,1,7
201078342,3,6,2,2,1,7
201186665,3,1,1,2,3,7
202673125,3,1,12,3,10,2
202493243,3,1,2,1,2,7
202614574,3,1,6,2,3,7
202509519,3,1,2,1,1,7
202509402,3,1,15,1,6,2
202471645,3,1,15,1,1,7
202509261,3,1,1,1,3,7
202554515,3,1,1,1,3,7
202554556,3,1,2,1,2,7
200203792,4,1,12,2,2,2
202587267,4,3,2,1,2,7
202493078,3,7,15,2,8,4
200776631,3,1,12,2,3,7
202648358,3,1,1,1,11,7
201023876,3,1,2,2,2,7
200691137,4,6,15,3,3,4
202554283,3,1,15,2,2,4
202509121,3,7,1,2,8,4
202369104,4,6,12,2,2,7
201128832,3,1,15,2,5,7
202614202,3,6,12,3,2,7
202648184,1,7,15,1,10,7
201186095,3,1,15,2,11,4
201128840,4,5,19,2,3,4
201496452,3,1,2,1,2,7
202531018,3,1,12,2,8,4
200776615,1,7,12,2,2,7
202369039,4,6,12,3,2,2
201354263,4,7,12,2,2,2
200542223,4,6,12,1,2,2
200571677,4,1,12,2,3,7
202634937,3,1,12,2,2,7
202554101,3,1,1,2,2,7
201023603,3,1,2,1,2,2
201204757,3,1,15,2,11,4
202492625,3,1,2,2,2,7
200054179,3,1,15,2,8,7
200054179,1,7,1,2,8,7
201023520,4,3,15,1,3,2
201703360,3,1,12,2,3,7
201023728,3,3,2,1,2,7
201408424,4,6,15,2,12,4
201023678,4,3,2,1,2,2
201128410,3,1,1,2,8,2
202586962,3,1,2,1,1,4
202567673,4,3,6,2,4,7
201614864,3,1,15,1,2,7
201128394,3,1,2,2,2,7
202521993,3,6,1,2,3,7
202492278,3,1,15,1,8,7
200359362,4,1,19,2,6,2
201076908,3,1,2,1,2,7
201185741,3,7,15,1,2,7
202089710,3,1,12,2,3,4
200776433,3,1,12,3,2,7
201128279,3,1,2,1,2,7
202613659,3,1,1,2,5,7
200534212,4,1,4,3,2,2
202586848,3,1,1,2,3,2
200359263,3,1,12,2,2,7
200359263,1,7,12,2,2,7
201494895,4,1,2,2,2,2
201128501,3,5,12,1,11,7
200776417,3,1,12,3,2,2
201185568,3,1,15,1,1,7
200922565,4,6,15,1,2,2
202521092,3,6,15,2,5,4
202508487,3,5,2,1,2,4
201076346,3,1,2,3,2,2
201250313,4,6,2,3,8,4
201127990,3,1,2,2,2,7
201763778,4,6,15,2,5,2
201185683,3,7,2,1,11,7
