SummaryNr,Degree,Nature,Occupation,FallDist,Cause,FatCause,TaskAssigned,HumanFactor,EnvironmentFactor,EventType,SourceInjury,PartBody,ProjType, ProjCost,EndUse
201186921,1,1,2,1,2,3,1,0,1,1,1,4,2,2,2
201024817,1,1,0,1,0,4,1,4,1,1,4,5,2,2,2
202654687,1,4,2,1,2,3,1,2,2,1,2,4,1,4,2
202556742,1,1,3,1,0,2,1,4,1,1,3,4,2,1,2
202509832,1,1,2,1,2,2,1,2,2,1,3,3,2,1,2
201943081,1,4,0,2,2,4,1,5,1,1,2,4,1,5,2
202545182,1,0,3,1,0,0,2,3,0,0,0,0,1,2,2
202614806,1,2,1,2,1,1,1,2,2,1,1,1,1,1,2
201943073,2,3,3,2,0,4,1,7,1,1,1,1,3,1,4
202523742,1,1,3,2,0,1,1,5,1,1,2,5,3,1,4
201186574,2,2,3,2,0,4,1,3,1,1,1,3,1,5,2
202556098,1,1,0,2,0,1,1,1,1,1,5,2,0,1,2
200626711,2,1,4,2,1,1,1,5,1,1,1,1,1,1,3
202656955,1,1,3,2,2,3,1,3,4,1,0,2,1,6,2
202649232,2,2,3,2,2,2,1,2,2,1,3,1,1,2,2
200515732,2,1,0,3,4,0,2,6,1,1,1,1,1,3,3
202614673,2,1,1,2,2,2,1,1,4,1,3,1,2,1,2
202654083,1,1,1,1,0,0,1,4,1,1,3,0,2,5,2
202614681,3,1,1,1,0,0,0,0,0,0,0,0,0,5,3
202493359,2,2,2,2,2,3,2,5,1,1,2,1,1,5,2
201129491,1,1,3,2,0,3,1,5,1,1,2,1,2,5,1
202544755,1,2,0,1,0,2,1,1,2,1,3,1,2,2,2
201078375,1,1,3,1,0,4,2,2,2,1,4,2,1,6,4
202654034,1,4,1,2,3,3,1,0,1,1,2,0,1,6,1
201129400,1,1,3,1,2,3,2,1,1,1,5,4,2,2,2
202554861,1,1,3,1,0,5,1,1,1,1,0,2,1,5,2
200626620,2,2,2,1,0,3,2,7,1,1,1,1,1,2,2
202654026,1,0,1,1,2,3,1,7,1,1,2,0,1,6,4
201078318,1,0,0,1,2,0,1,2,0,0,0,0,1,6,3
201078292,1,1,3,1,0,3,1,1,1,1,5,3,1,5,4
201078342,1,2,2,2,0,3,1,1,1,1,2,1,1,5,2
201186665,1,1,0,2,0,2,1,2,4,1,3,0,2,2,1
202673125,1,1,1,3,0,1,2,5,2,1,4,2,2,2,1
202493243,1,1,2,1,2,4,1,6,1,1,1,2,2,1,2
202614574,1,1,0,2,0,2,2,7,1,1,3,4,3,1,2
202509519,1,1,2,1,0,3,1,1,2,1,1,5,1,7,2
200926350,2,3,0,1,0,0,1,0,2,1,0,1,2,3,1
202509402,1,1,3,1,0,1,2,5,2,1,4,5,2,4,3
202471645,1,1,3,1,0,2,1,2,0,1,3,2,2,1,2
202509261,1,1,0,1,0,0,1,1,1,1,0,0,2,6,4
202554515,1,1,0,1,0,2,1,2,2,1,3,0,3,1,2
202554556,1,1,2,1,0,2,1,2,2,1,3,2,3,5,4
200203792,2,1,1,2,1,1,1,5,1,1,5,1,1,4,2
202587267,2,3,0,1,0,0,1,7,1,1,2,1,1,4,1
202493078,1,0,0,2,0,5,1,0,3,1,1,2,0,1,0
