SummaryNr,Degree,Nature,Occupation,FallDist,Cause,FatCause,TaskAssigned,HumanFactor,EnvironmentFactor,EventType,SourceInjury,PartBody,ProjType, ProjCost,EndUse
201186921,1,1,2,1,2,3,1,9,1,1,1,4,2,2,2
202654687,1,4,2,1,2,3,1,2,2,1,2,4,1,4,2
202556742,1,1,3,1,18,2,1,4,1,1,3,4,2,1,2
202509832,1,1,2,1,2,2,1,2,2,1,3,3,2,1,2
202614806,1,2,1,2,1,1,1,2,2,1,1,1,1,1,2
201943073,2,3,3,2,5,4,1,7,1,1,1,1,3,1,4
202523742,1,1,3,2,10,1,1,5,1,1,2,5,3,1,4
201186574,2,2,3,2,18,4,1,3,1,1,1,3,1,5,2
200626711,2,1,4,2,1,1,1,5,1,1,1,1,1,1,3
202649232,2,2,3,2,2,2,1,2,2,1,3,1,1,2,2
202614673,2,1,1,2,2,2,1,1,4,1,3,1,2,1,2
202654083,1,1,1,1,5,7,1,4,1,1,3,0,2,5,2
202493359,2,2,2,2,2,3,2,5,1,1,2,1,1,5,2
201129491,1,1,3,2,8,3,1,5,1,1,2,1,2,5,1
202544755,1,2,7,1,5,2,1,1,2,1,3,1,2,2,2
201078375,1,1,3,1,8,4,2,2,2,1,4,2,1,6,4
202654034,1,4,1,2,3,3,1,8,1,1,2,6,1,6,1
201129400,1,1,3,1,2,3,2,1,1,1,5,4,2,2,2
200626620,2,2,2,1,6,3,2,7,1,1,1,1,1,2,2
202654026,1,0,1,1,2,3,1,7,1,1,2,10,1,6,4
201078292,1,1,3,1,8,3,1,1,1,1,5,3,1,5,4
201078342,1,2,2,2,8,3,1,1,1,1,2,1,1,5,2
201186665,1,1,7,2,5,2,1,2,4,1,3,0,2,2,1
202493243,1,1,2,1,2,4,1,6,1,1,1,2,2,1,2
202614574,1,1,6,2,23,2,2,7,1,1,3,4,3,1,2
202509519,1,1,2,1,8,3,1,1,2,1,1,5,1,7,2
202509402,1,1,3,1,9,1,2,5,2,1,4,5,2,4,3
202554515,1,1,7,1,5,2,1,2,2,1,3,8,3,1,2
200203792,2,1,1,2,1,1,1,5,1,1,5,1,1,4,2
200776631,1,1,1,2,6,3,1,3,1,1,2,2,1,2,2
201023876,1,1,2,2,2,4,1,6,1,1,2,4,1,3,2
200691137,2,2,3,3,6,6,1,2,1,1,4,1,1,2,2
202554283,1,1,3,2,2,6,1,9,1,1,1,4,1,6,2
202509121,1,4,7,2,10,5,2,2,1,1,4,2,3,1,4
202369104,2,2,1,2,2,3,1,1,1,1,1,1,4,1,3
201128832,1,1,3,2,3,2,1,2,2,1,5,2,1,3,1
202614202,1,2,1,3,2,2,1,2,2,1,2,1,1,6,4
202648184,3,5,3,1,13,2,1,2,2,1,3,0,3,1,1
201496452,1,1,2,1,2,3,1,2,1,1,5,4,1,2,1
202531018,1,1,1,2,10,6,1,8,1,1,4,9,4,1,6
200776615,3,4,1,2,1,4,1,5,1,1,5,2,2,2,2
202369039,2,2,1,3,2,1,1,5,1,1,4,1,4,1,3
200542223,2,2,1,1,1,1,1,2,2,1,1,1,4,1,1
200571677,2,1,1,2,23,3,1,1,2,1,3,10,2,1,2
201023603,1,1,2,1,2,1,1,1,4,1,1,12,1,1,3
200054179,1,1,3,2,10,4,1,4,1,1,1,10,2,2,8
201023520,2,3,3,1,23,1,1,3,1,1,5,1,1,4,2
201703360,1,1,1,2,5,2,1,7,2,1,3,2,1,5,4
201023728,1,3,2,1,2,3,1,1,1,1,1,1,1,4,2
201023678,2,3,2,1,2,1,1,1,1,1,1,1,2,2,3
201128410,1,1,7,2,10,1,1,2,1,1,2,5,3,1,2
202586962,1,1,2,1,8,6,1,1,2,1,1,0,2,2,2
202567673,2,3,6,2,19,3,1,1,1,1,2,1,1,3,2
201128394,1,1,2,2,16,3,1,1,2,1,1,5,1,5,2
202492278,1,1,3,1,10,2,1,2,2,1,3,9,3,1,2
201076908,1,1,2,1,2,2,1,2,1,1,3,0,2,1,2
202089710,1,1,1,2,17,5,1,3,2,1,4,2,1,5,1
200776433,1,1,1,3,2,4,1,7,1,1,1,2,2,3,2
202586848,1,1,7,2,5,1,1,9,1,1,5,0,3,1,2
201128501,1,0,1,1,11,2,1,8,1,1,3,0,2,5,1
200776417,1,1,1,3,1,1,1,1,2,1,1,1,3,1,4
201185568,1,1,3,1,8,4,1,4,1,1,1,5,2,1,2
200922565,2,2,3,1,1,1,1,4,2,1,4,1,3,1,2
202521092,1,2,3,2,3,5,1,3,1,1,1,2,1,2,3
201076346,1,1,2,3,2,1,1,8,1,1,2,0,2,5,2
201250313,2,2,2,3,10,5,1,2,2,1,1,2,1,7,3
201127990,1,0,2,2,2,4,1,3,2,1,4,6,1,6,2
201763778,2,2,3,2,3,1,1,1,2,1,4,3,1,2,1
201185683,1,4,2,1,4,2,1,7,1,1,3,10,2,2,1
201127966,1,1,4,2,9,1,1,2,1,1,1,4,2,4,1
202530663,1,1,1,1,6,6,1,2,1,1,1,11,1,5,2
202469805,1,1,1,1,6,7,1,7,1,1,2,1,1,2,3
201371432,2,2,1,3,1,1,2,3,1,1,4,1,1,2,2
201076056,1,1,2,1,15,3,1,8,1,1,2,11,1,7,1
202508321,1,0,2,2,8,2,1,4,1,1,3,7,1,6,2
201408333,2,3,3,3,2,2,1,2,2,1,3,1,3,1,2
200776078,1,1,1,1,2,4,1,2,1,1,1,2,2,1,4
201127867,1,1,2,1,8,3,1,2,2,1,4,0,1,3,4
201023074,1,1,1,2,1,1,1,3,2,1,1,5,1,2,2
202627899,1,1,3,1,20,2,1,2,2,1,3,1,1,2,2
202627881,1,1,2,1,7,4,1,1,1,1,1,12,1,5,1
201127834,1,1,2,2,2,2,1,2,2,1,3,6,3,4,4
201075967,1,3,3,1,23,2,1,3,1,1,3,1,2,1,2
202456893,1,1,2,1,2,1,1,2,1,1,5,2,1,5,2
202507919,1,1,3,1,5,4,1,4,1,1,1,0,2,2,2
201185337,1,4,2,1,6,2,1,4,1,1,3,1,2,1,1
201273026,2,2,1,3,9,1,1,1,2,1,2,3,2,4,3
200644805,2,4,1,3,15,4,1,1,1,1,1,0,1,3,6
202541991,1,1,1,1,9,2,1,2,2,1,3,6,2,2,2
200358547,1,1,3,2,16,3,1,1,1,1,2,8,1,6,3
201371382,2,4,1,2,1,1,1,3,1,1,5,1,1,2,1
200776011,1,0,2,1,6,6,1,1,2,1,1,0,1,5,2
202251997,1,1,1,2,2,4,2,2,1,1,1,5,2,1,2
201494424,1,1,5,2,4,4,1,6,2,1,4,2,1,5,4
200332328,1,1,1,3,3,8,1,2,1,1,4,3,1,3,6
200332328,1,1,1,3,3,8,1,2,1,1,4,3,1,3,6
202541744,1,1,3,1,14,8,1,1,2,1,1,2,2,4,1
200003002,2,3,3,3,1,1,1,3,1,1,1,1,2,3,1
201381217,1,1,2,2,2,6,1,9,1,1,2,6,1,2,2
201523495,1,1,4,3,1,1,2,1,1,1,1,0,3,1,2
201773512,2,1,3,3,8,1,2,3,1,1,1,1,1,4,1
202251930,1,1,1,1,2,2,1,8,3,1,3,9,1,2,2
200263804,2,3,1,1,6,3,1,1,1,1,2,1,1,2,2
201022571,1,1,1,2,10,1,1,2,1,1,4,7,3,1,2
200625564,2,2,1,2,1,1,1,2,2,1,2,12,2,2,1
202504692,2,2,2,1,2,1,1,1,2,1,4,1,3,2,2
201509510,1,5,3,1,2,2,1,1,2,1,3,4,3,1,4
202600037,1,1,1,1,6,2,1,7,1,1,5,8,1,2,2
202560827,2,4,1,1,13,3,1,9,1,1,1,1,1,2,2
200514941,2,3,7,2,5,2,1,2,2,1,3,1,1,4,1
201127271,1,1,4,1,1,3,1,2,2,1,4,11,2,3,1
202599783,1,1,2,1,2,3,1,1,3,1,2,12,1,6,4
202541066,1,1,3,2,13,2,1,1,4,1,3,0,1,5,2
201022340,1,1,1,1,23,1,1,1,1,1,1,1,1,4,3
202540902,1,1,3,3,21,3,1,1,4,1,2,2,1,5,2
202476271,1,1,3,1,1,1,1,2,2,1,2,7,1,1,2
201773470,1,2,2,2,8,3,1,5,1,1,2,1,1,4,1
200533081,2,3,3,1,2,2,1,4,3,1,5,1,2,1,2
202550695,1,1,6,2,17,4,1,1,2,1,4,3,1,3,1
201751864,2,1,3,1,5,2,2,2,2,1,3,1,1,5,1
